date,category,title,amount
2023-06-02,serviços,Google Chouic,10.99
2023-05-27,serviços,Google Storage,6.99
2023-05-26,transporte,Pag*Catedralturismo,150.02
2023-05-25,supermercado,Pinbank*Srpadeiro Empo,21.97
2023-05-25,transporte,Scp Estacionamento Go,9.00
2023-05-25,restaurante,Izu Japanese Food,163.90
2023-05-25,outros,Ebn *Spotify,34.90
2023-05-24,supermercado,Pag*Lanchesfeira,25.00
2023-05-24,transporte,99app *99app,7.14
2023-05-22,transporte,Park Place Administrac,4.50
2023-05-22,restaurante,Bobs Ancora,5.00
2023-05-22,restaurante,Filial Plk Shop Cerra,29.90
2023-05-21,restaurante,Lanchonete Ponto,5.50
2023-05-21,restaurante,Lanchonete Ponto,9.00
2023-05-21,supermercado,Pag*Paulohenriquede,22.00
2023-05-21,viagem,Mp *Ingressosa,92.00
2023-05-21,eletrônicos,Pag*Chaveiro,20.00
2023-05-21,transporte,Leao de Ouro,25.00
2023-05-21,restaurante,Bar e Lanchonete Ponto,22.33
2023-05-21,supermercado,Pamonharia Frutos da T,21.25
2023-05-21,supermercado,Pinbank*Srpadeiro Empo,18.97
2023-05-20,saúde,Drogaria Online,37.29
2023-05-20,lazer,Macaia Coletivo Bar Un,4.40
2023-05-19,supermercado,Pag*Diogenesrodrigo,9.00
2023-05-16,payment,Pagamento recebido,-25.00
2023-05-16,transporte,Uber *Uber *Trip,17.90
2023-05-16,vestuário,Ebn *Shein,18.34
2023-05-15,eletrônicos,Midjourney Inc.,51.20
2023-05-15,tax_foreign,IOF de "Midjourney Inc.",2.75
2023-05-15,saúde,Drogaria Plus,26.89
2023-05-15,payment,Pagamento recebido,-26.08
2023-05-14,restaurante,Moscavo,40.00
2023-05-14,supermercado,Supermercado Birutao,19.99
2023-05-13,restaurante,Pinbank*Meio Bar,15.00
2023-05-13,supermercado,Supermercado Tatico,20.67
2023-05-13,serviços,Bmb*Oi Nova Fibra,99.90
2023-05-13,restaurante,Pinbank*Meio Bar,10.00
2023-05-13,restaurante,Meio Bar,5.00
2023-05-13,transporte,Uber *Uber *Trip,14.90
2023-05-13,saúde,Racao Mais Barato,57.90
2023-05-12,reversal_upfront_national_due,Estorno de "T4f Alimento*Lolla23",-3.00
2023-05-12,restaurante,Natalia Paes,37.48
2023-05-12,serviços,Mais Amor Vet Clinica,116.00
2023-05-10,outros,Mp *Evilton10,6.00
2023-05-10,serviços,Pg *Liga Liga Ticket,179.66
2023-05-09,payment,Pagamento recebido,-24.15
2023-05-08,tax_foreign,IOF de "Chatgpt Subscription",5.56
2023-05-08,eletrônicos,Chatgpt Subscription,103.37
2023-05-08,restaurante,Kid Abelha Sanduiche,20.00
2023-05-07,lazer,Club Bar Pub,15.00
2023-05-07,payment,Pagamento recebido,-50.00
2023-05-07,restaurante,Pinbank*Meio Bar,5.00
2023-05-07,restaurante,Inacios Lanche e Resta,30.00
2023-05-07,restaurante,Meio Bar,10.00
2023-05-07,payment,Pagamento recebido,-21.90
2023-05-07,restaurante,Yumi Sorvetes Artesana,26.95
2023-05-07,restaurante,Meio Bar,10.00
2023-05-06,lazer,Macaia Coletivo Bar Un,39.49
2023-05-05,payment,Pagamento recebido,-2309.20
2023-05-05,outros,Ebn *Shein,10.36
2023-05-05,eletrônicos,Amazon Marketplace,58.20
2023-05-04,serviços,Amazon Aws Servicos Br,19.05
2023-05-04,serviços,Dm *Nintendo,19.82
2023-05-04,supermercado,Panificadora Moreira,35.24
2023-05-04,serviços,Claro Flex,39.99
2023-05-03,eletrônicos,Amazon,53.40
2023-05-03,vestuário,Vivara Eco*Lojavivara1,53.57
2023-05-03,outros,Big Lar,53.49
2023-05-03,outros,Big Lar,69.99
2023-05-03,serviços,Dm *Nintendo,2.21
2023-05-03,saúde,Agropop Campinas,58.50
2023-05-03,outros,Ebn *Shein,21.10
2023-05-03,outros,Ebn *Shein,20.02
2023-05-03,eletrônicos,Amazon,21.90
2023-05-03,charge,Parcelamento de Compra "Paypal *Contabo",78.44
2023-05-03,eletrônicos,Amazon,24.15
2023-05-03,serviços,Dm *Sheincom,23.70
2023-05-03,serviços,Dm *Sheincom,26.08
2023-05-03,eletrônicos,Amazon Marketplace,77.00
